K H I H	1042 0 1008
W T V Q	910 0 879
U H F	908 0 875
R A U O	1243 0 1210
V G W	936 0 905
F O K	1047 0 1015
P F R P	1242 0 1210
M C W	0 787 968
O L V	959 0 928
O E T	422 667 911 0 391 942
O H G V	957 0 924
E M L	422 692 961 0 391 992
R G C K	1047 1199 1228 0 1012 1278
P S F O	962 0 931
P R G	1243 0 1210
E O F	422 668 914 0 391 945
S Y S	960 0 885 1035
W C E	422 605 822 0 391 854
O I R U	1243 0 1210
O L C	818 922 1025 0 784 1059
M G N A	966 0 935
U A V O	962 0 931
N L H	912 0 879
T P F	910 0 879
Q A U	345 0 314
E Y T	422 651 915 0 391 944
M N C	818 922 1025 0 784 1059
C N K K	1041 0 1005 1107
O L D	362 961 0 331 992
V Q A F	910 0 879
M S D	362 961 0 331 992
S M L N	877 0 846
A L S U	345 0 314
V K K K	1058 0 1042
E O Q Y	422 652 916 0 391 945
F S L	957 0 926
Y I T T	957 0 880 1035
L T T G	957 0 926
M T Q R	1243 0 1210
Q C G L	835 888 941 0 786 990
E U F	422 668 914 0 391 945
E I O A	422 696 970 0 391 1001
W F O S	912 0 881
U C W	0 787 968
M Y N	913 942 972 0 849 1036
C O E	422 605 822 0 391 854
H O H G	953 0 919
Y H G	970 0 924 1040
G D O	362 966 0 331 997
A U G A	966 0 935
C N S T	863 0 788 938
O U A	966 0 935
W F O C	818 922 1025 0 784 1059
H U G	955 0 922
A Q L	957 0 926
K S S A	1046 0 1018
H R N C	1022 1174 1240 0 987 1279
F M Q	910 0 879
F H S	910 0 877
E H V P	594 844 1061 0 562 1092
C Q A	830 892 954 0 786 999
C Y A S	904 0 790 947
H W N	875 0 842
R A V O	1243 0 1210
T U I	965 0 934
F U F D	362 961 0 331 992
M Y C H	878 0 785 947
I K A	1046 0 1018
Q V I A	966 0 935
P U Q K	1047 0 1015
P P D	362 961 0 331 992
S G K V	1046 0 1017
K A O	1046 0 1017
Q R A	1243 0 1210
Q G W M	918 0 887
V P E R	899 1091 1248 0 866 1280
F S R I	1243 0 1210
T O U H	912 0 879
O T U A	966 0 935
Y N C V	958 0 788 986
W W O	962 0 931
C L P	816 938 1059 0 784 1092
R M T P	1242 0 1210
P V A P	1057 0 1025
K F S O	1046 0 1017
F H O V	957 0 924
W G L	957 0 926
R Y N	1001 1147 1245 0 969 1279
R U E	962 1124 1247 0 930 1280
L F Y N	913 942 972 0 849 1036
N M G	957 0 926
Q T H	912 0 879
F S N	877 0 846
K G P V	1046 0 1017
G W Y	958 0 881 1035
I Y I	986 0 933 1039
C Y Q Q	901 0 790 945
K W S D	975 0 925 1079
W F R O	1243 0 1210
W G A F	910 0 879
G I T	907 0 876
G E H	594 774 917 0 562 949
E Q Q P	422 1061 0 391 1092
P C I	831 892 953 0 786 998
S D U	356 0 308 403
A E A	422 696 970 0 391 1001
N H P I	963 0 930
O H V C	814 946 1022 0 781 1059
V Q D	362 961 0 331 992
H T F N	875 0 842
C V L	835 888 941 0 786 990
D T T	362 637 911 0 331 942
W T G	957 0 926
Y U C Q	901 0 790 945
P L T Y	958 0 881 1035
F G Y I	986 0 933 1039
K W N G	1046 0 1017
N P O G	957 0 926
R V G	1243 0 1210
A O U N	877 0 846
P E Y W	422 666 943 0 391 969
V F M M	918 0 887
F Q U G	957 0 926
L C A	830 892 954 0 786 999
P Y Y L	992 0 925 1020
K W M Y	1014 0 972 1087
G A G	957 0 926
U Y S E	422 680 967 0 391 990
G T V	959 0 928
Y F E H	595 757 922 0 562 950
C I Q	864 0 788 941
Y K Q S	1014 0 972 1087
F G C S	865 0 788 943
M U G G	957 0 926
U G D	362 961 0 331 992
N Y T A	987 0 934 1040
R F K Q	1240 0 1207
P T V P	1057 0 1025
D L K	896 0 859 1082
C T N	848 0 787 909
Q C D M	362 575 823 0 331 853
W M V P	1057 0 1025
C F D I	362 575 822 0 331 854
G H G	955 0 922
N H K V	1043 0 1014
G U O	962 0 931
A C V	834 889 944 0 786 992
W Q D	362 961 0 331 992
A I M O	962 0 931
U R U	1243 0 1210
K Y C	1017 0 965 1054
Q H H L	953 0 919
A N Q	910 0 879
P U M	918 0 887
L I H P	1055 0 1022
S V E	422 695 968 0 391 999
Y F M P	1032 0 975 1090
F H L	955 0 922
E F P R	899 1091 1248 0 866 1280
Q G H P	1055 0 1022
H K V	1043 0 1014
P H N K	1045 0 1011
C O T	863 0 788 938
W Q R S	1243 0 1210
Q R W	1243 0 1210
E Y W D	417 0 330 462
I Y O	985 0 931 1039
I F R F	1243 0 1210
I V W N	877 0 846
T G D	362 961 0 331 992
W Y C U	345 567 821 0 314 854
L Y N M	963 0 891 1035
C Y K	982 0 864 1030
P I Y	958 0 881 1035
G H T	905 0 872
K A H	1044 0 1011
Q W P Y	958 0 881 1035
G P A	966 0 935
Y A I I	986 0 933 1039
G S D	362 961 0 331 992
Y P N	913 942 972 0 849 1036
I V W R	1243 0 1210
G W T	907 0 876
Y U G	982 0 927 1038
U L P Y	958 0 881 1035
C G I	831 892 953 0 786 998
D V M R	899 1091 1248 0 866 1280
N F C S	865 0 788 943
U A Y	958 0 881 1035
V T Y	958 0 881 1035
U C I M	868 0 788 949
S F R P	1242 0 1210
H P P G	955 0 922
U W V	959 0 928
C W V T	863 0 788 938
A Y M Q	959 0 883 1035
M V P Y	958 0 881 1035
I G H	912 0 879
U W N S	912 0 881
Q V S S	912 0 881
P L H O	960 0 927
I E U	386 0 318 453
D Q W	362 940 0 331 971
D T U	356 0 308 403
C P L	835 888 941 0 786 990
P O N O	962 0 931
K Y O	1014 0 980 1086
V G T	907 0 876
S A R	1243 0 1210
C O G T	863 0 788 938
I Q C O	832 890 948 0 786 995
Q N Q M	918 0 887
E L Y	422 652 916 0 391 945
L M V F	910 0 879
M P P N	877 0 846
F K C E	830 885 960 0 783 998
W Q G C	818 922 1025 0 784 1059
S V T I	965 0 934
R F F O	1243 0 1210
A O U S	912 0 881
P D Y V	362 963 0 331 987
M K Q E	983 0 932 1080
L O G Q	910 0 879
F H R A	1241 0 1207
U I I	965 0 934
W Q Y	958 0 881 1035
D N E A	410 0 333 458
H L L	955 0 922
I E A Y	422 652 916 0 391 945
L D N	362 622 881 0 331 912
H P P Q	908 0 875
S H U	595 0 563
H K D W	943 0 900 1078
O W M Y	958 0 881 1035
G H H U	606 0 585
W C P W	0 787 968
O I L	957 0 926
E W Q	422 668 914 0 391 945
N C T O	832 890 948 0 786 995
P W A	966 0 935
P G W	936 0 905
A O L W	936 0 905
I H F	908 0 875
W U L L	957 0 926
P P O S	912 0 881
D Y T	362 621 915 0 331 944
V D N V	362 963 0 331 994
U I Y W	972 0 908 1035
F Y E I	422 680 968 0 391 991
V U G	957 0 926
G Q Q S	912 0 881
U G O	962 0 931
I D D	371 0 314 409
U N C P	816 938 1059 0 784 1092
H E K Y	947 0 874 1029
G H U	595 0 563
A W C L	835 888 941 0 786 990
K T O P	1065 0 1045
K O P R	1240 0 1207
R W N N	1243 0 1210
I U R L	1243 0 1210
I A E	422 695 968 0 391 999
I L Q L	957 0 926
U P F	910 0 879
W A E	422 695 968 0 391 999
S Y F C	828 876 1001 0 785 1024
D S M S	362 639 916 0 331 947
D P T P	362 1061 0 331 1092
N Y W W	972 0 908 1035
M A K W	1046 0 1015
O R Q	1243 0 1210
K Q S O	1046 0 1017
L I N I	965 0 934
Q T A	966 0 935
C Q P	816 938 1059 0 784 1092
H G O G	955 0 922
R N E	962 1124 1247 0 930 1280
T S G	957 0 926
L L O I	965 0 934
F M T M	918 0 887
T L D H	595 774 917 0 563 949
F L D	362 961 0 331 992
N H R N	1241 0 1207
Q H U F	908 0 875
W M Y	958 0 881 1035
Q P V H	912 0 879
W U D V	362 963 0 331 994
V R P T	1243 0 1210
A I W	936 0 905
L D G G	362 961 0 331 992
G U S K	1047 0 1015
O F D	362 961 0 331 992
G Y T H	933 0 882 1033
R U L R	1253 0 1232
N K H	1044 0 1011
W U U	345 0 314
Y K T N	1015 0 970 1087
T E I L	422 692 961 0 391 992
L O I A	966 0 935
G Q K	1047 0 1015
G F C N	848 0 787 909
U K Q G	1046 0 1017
C E M	422 605 823 0 391 853
P D I C	362 575 821 0 331 854
P P M	918 0 887
C C Q Y	829 0 762 862
C M V	834 889 944 0 786 992
M N S U	345 0 314
K O I U	1048 0 1015
P U K	1047 0 1015
L P T	907 0 876
M I W	936 0 905
R T Q D	955 1120 1248 0 922 1280
E L T	422 667 911 0 391 942
L U K A	1046 0 1018
P N M H	912 0 879
F W T	907 0 876
A F W W	936 0 905
Y K U C	1017 0 965 1054
V C N	848 0 787 909
Q E L	422 692 961 0 391 992
W Q W Q	910 0 879
W Q N F	910 0 879
O F O W	936 0 905
Q K I	1046 0 1018
N K I D	975 0 925 1079
Q P O	962 0 931
A Q A	966 0 935
A U K F	1046 0 1015
E M M	422 672 922 0 391 953
C Y U P	828 879 1007 0 785 1033
D I R C	816 922 1028 0 781 1063
I K H	1044 0 1011
G E N I	422 696 969 0 391 1000
H A M C	814 946 1022 0 781 1059
K N C R	1046 1199 1228 0 1012 1278
A P E	422 695 968 0 391 999
Y H V	971 0 925 1041
U G F D	362 961 0 331 992
M R V Q	1243 0 1210
U A Q M	918 0 887
U G R Y	1000 1147 1245 0 971 1279
K R E H	1044 0 1009 1277
C O M	868 0 788 949
M G H Q	908 0 875
M M A V	959 0 928
C P T V	834 889 944 0 786 992
O N P K	1047 0 1015
O G K	1047 0 1015
K L N V	1046 0 1017
I W N V	959 0 928
K Q U M	1046 0 1015
F P Q M	918 0 887
F M M	918 0 887
S E L W	422 681 940 0 391 971
G G N I	965 0 934
U V Y C	828 876 1001 0 785 1024
W V R	1243 0 1210
D S C V	362 575 822 0 331 854
E H K	892 0 855 1081
F N G E	422 695 968 0 391 999
W H Q	908 0 875
N T Q Q	910 0 879
W D C	362 575 821 0 331 854
R N W	1243 0 1210
N S W	936 0 905
M E Y Y	422 643 920 0 391 951
M L Q R	1243 0 1210
L S V	959 0 928
E V I	422 696 969 0 391 1000
T Y I D	362 962 0 331 985
M R S	1243 0 1210
H Q G	955 0 922
U E I	422 696 969 0 391 1000
K U Y R	1048 1202 1228 0 1022 1278
U K H	1044 0 1011
Q H O U	595 0 563
R M A	1243 0 1210
N I C T	863 0 788 938
D O W	362 940 0 331 971
H Y Y H	966 0 881 1017
G L D	362 961 0 331 992
F T P O	962 0 931
I M V	959 0 928
S E G L	422 692 961 0 391 992
F P N I	965 0 934
I F F	910 0 879
K S R O	1240 0 1207
O K D	975 0 925 1079
T S L	957 0 926
Y T V	983 0 928 1038
S C F V	834 889 944 0 786 992
M L P N	877 0 846
A Q M	918 0 887
Y Q U G	982 0 927 1038
G E D W	410 0 333 458
L L P S	912 0 881
N E U P	422 1061 0 391 1092
H K S	1044 0 1011
T O K P	1065 0 1045
S S U G	957 0 926
O K C	1030 0 988 1093
K C T U	814 955 1050 0 781 1084
P W I	965 0 934
G H W	934 0 901
W I L	957 0 926
F Q F N	877 0 846
P T L E	422 695 968 0 391 999
W D H E	425 517 595 0 395 634
C D U	364 0 303 405
Y P D U	364 0 303 405
E I N N	422 652 881 0 391 912
M E G	422 692 961 0 391 992
Q V K N	1047 0 1015
M E V	422 693 963 0 391 994
V R H L	1241 0 1207
D G M G	362 961 0 331 992
L I R	1243 0 1210
S A R E	962 1124 1247 0 930 1280
W O R A	1243 0 1210
T K Y	1014 0 972 1087
N Q E	422 695 968 0 391 999
K R M	1240 0 1207
T Y Y	989 0 884 1017
S M Y V	983 0 928 1038
R L S	1243 0 1210
F O T	907 0 876
U V D K	896 0 859 1082
V D D	371 0 314 409
S V W	936 0 905
A S O W	936 0 905
Q W D	362 961 0 331 992
F N R	1243 0 1210
H V F	908 0 875
Y V O	985 0 931 1039
Q E S R	899 1091 1248 0 866 1280
O N I	965 0 934
Q D C	362 575 821 0 331 854
G U L G	957 0 926
R I K	1240 0 1207
I O I E	422 695 968 0 391 999
E C C O	422 595 810 0 391 831
L C L E	422 605 822 0 391 854
P O N	877 0 846
Y W H O	973 0 928 1042
S M L O	962 0 931
K R L M	1240 0 1207
O D W F	362 638 914 0 331 945
V Q U U	345 0 314
S S H M	916 0 883
A U T	907 0 876
H O P R	1241 0 1207
V Q N F	910 0 879
R D C D	373 582 824 0 353 857
T U R T	1243 0 1210
V L T F	910 0 879
A M R C	1024 1159 1243 0 990 1279
I K W C	1030 0 988 1093
Q E D I	410 0 333 458
W G Y P	1032 0 975 1090
C E D	417 0 330 462
R H N P	1240 0 1207
T Q M	918 0 887
N H N	875 0 842
V G L	957 0 926
M S V	959 0 928
H I M M	916 0 883
R W D P	1058 1183 1236 0 1023 1278
C G H	832 0 783 943
L M N W	936 0 905
R C P	1058 1183 1235 0 1023 1278
T Q V	959 0 928
F R I V	1243 0 1210
M R S L	1243 0 1210
K F Y C	1017 0 965 1054
R U T	1243 0 1210
W R Q L	1243 0 1210
S R G A	1243 0 1210
D E S H	425 517 595 0 395 634
A H P Q	908 0 875
S L I V	959 0 928
U N T A	966 0 935
Y N L	982 0 927 1038
O C S T	863 0 788 938
D P Y H	595 757 922 0 563 950
G Q R Q	1243 0 1210
G V A O	962 0 931
H G Q T	905 0 872
M Y U H	933 0 882 1033
L I G K	1047 0 1015
U U I	965 0 934
E Y W	422 666 943 0 391 969
L R M U	1243 0 1210
